location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,1044,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,420,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,539,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,560,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,560,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,567,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,644,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,945,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,1015,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,1414,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,2632,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,3899,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,3698,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Khak-e-Jabbar,AF01,Kabul,AF0109,Khak-e-Jabbar,2,Returns and displacement in Afghanistan,BA,4190,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Kalakan,AF01,Kabul,AF0110,Kalakan,2,Returns and displacement in Afghanistan,BA,3964,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Kalakan,AF01,Kabul,AF0110,Kalakan,2,Returns and displacement in Afghanistan,BA,325,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Kalakan,AF01,Kabul,AF0110,Kalakan,2,Returns and displacement in Afghanistan,BA,247,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Kalakan,AF01,Kabul,AF0110,Kalakan,2,Returns and displacement in Afghanistan,BA,510,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Kalakan,AF01,Kabul,AF0110,Kalakan,2,Returns and displacement in Afghanistan,BA,614,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Kalakan,AF01,Kabul,AF0110,Kalakan,2,Returns and displacement in Afghanistan,BA,614,7,2018-12-31,2018-12-31
